127.0.0.1 - - [20/Nov/2017:01:33:59 -0200] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:01 -0200] "GET /SAIPRO/ HTTP/1.1" 200 10592
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:01 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [20/Nov/2017:01:34:02 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:47 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12067
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:47 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:47 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:47 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:47 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:47 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:47 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:47 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:48 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:48 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:48 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:48 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:48 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:48 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:48 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:48 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:54 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:54 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:10:54 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:12:28 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12004
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:12:28 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
