0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:54 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:55 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:55 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:55 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:18:55 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/ HTTP/1.1" 200 10295
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:27 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:19:28 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/ HTTP/1.1" 200 10161
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:05 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:06 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:06 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:06 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:06 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:37 -0200] "GET /SAIPRO/ HTTP/1.1" 200 10140
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:37 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:37 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:37 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:37 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:38 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:48 -0200] "GET /SAIPRO/ HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:48 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:20:49 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/ HTTP/1.1" 200 10166
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:02 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/ HTTP/1.1" 200 10166
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:35 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:36 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:36 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:36 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:24:36 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:12 -0200] "GET /SAIPRO/ HTTP/1.1" 200 9959
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:12 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:12 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:12 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:12 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:12 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:12 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:12 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:13 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [13/Nov/2017:17:28:31 -0200] "GET /SAIPRO/ HTTP/1.1" 200 9963
